journal	n	included
1884	1792	921
1885	873	474
1886	137	77
1887	1195	768
1888	37	16
1889	786	471
1890	15	10
1891	533	352
1892	64	43
1893	19	14
1894	147	74
1895	460	301
1896	451	281
1897	76	25
1898	327	249
1899	112	69
1900	63	50
1901	498	435
1902	290	211
1903	3219	2430
1904	170	123
1905	84	52
1906	100	45
1907	31	20
1908	1485	0
1909	123	5
1910	4925	3329
1911	475	291
1912	1566	996
1913	1296	797
1914	119	79
1915	16	0
1916	1389	1006
1917	156	3
1918	149	65
1919	678	429
1920	4122	66
1921	972	649
1922	149	104
1923	40	24
1924	3636	2263
1925	86	65
1926	692	4
1927	831	451
1928	499	253
1929	1153	448
1930	10	7
1931	294	184
1932	5124	3746
1933	102	40
1934	157	69
1935	981	643
1936	124	70
1937	822	5
1938	170	100
1939	175	135
1940	4	3
1941	17	6
1942	1709	17
1943	2083	1155
1944	2289	1381
1945	105	41
1946	798	492
1947	122	73
1948	538	321
1949	229	0
1950	512	183
1951	283	189
1952	1185	782
1953	1370	1008
1954	278	248
1955	43	27
1956	107	0
1957	558	63
1958	1063	716
1959	113	0
1960	594	375
1961	103	58
1962	1790	881
1963	90	63
1964	52	28
1965	2127	1136
1966	1482	799
1967	484	257
1968	761	307
1969	701	351
1970	119	64
1971	916	538
1972	180	97
1973	199	139
1974	103	0
1975	213	0
1976	163	100
1977	433	0
1978	297	157
1979	142	101
1980	295	1
1981	1192	641
1982	1395	658
1983	126	1
1984	914	533
1985	553	290
1986	2454	8
1987	1216	565
1988	49	1
1989	36	0
1990	36	0
1991	321	4
1992	401	245
1993	14	0
1994	147	27
1995	491	316
1996	1134	910
1997	724	4
1998	465	345
1999	4	0
2000	142	102
2001	92	59
2002	63	34
2003	1952	1202
2004	839	557
2005	452	373
2006	1813	1007
2007	602	11
2008	256	104
2009	365	273
2010	213	2
2011	473	343
2012	426	369
2013	354	213
2014	728	487
2015	125	0
2016	217	0
2017	35	17
2018	846	583
2019	320	2
2020	242	206
2021	642	404
2022	836	641
2023	1616	1078
2024	1733	1188
2025	85	61
2026	51	32
2027	38	10
2028	27	14
2029	117	38
2030	239	105
2031	64	26
2032	109	41
2033	256	8
2034	25	0
2035	32	0
2036	508	356
2037	111	76
2038	1391	181
2039	155	0
2040	142	58
2041	1087	770
2042	37	0
2043	3	0
2044	8	5
2045	563	317
2046	442	277
2047	254	0
2048	734	472
2049	43	30
2050	3158	1927
2051	242	133
2052	132	70
2053	675	359
2054	707	437
2055	83	30
2056	60	37
2057	557	293
2058	224	149
2059	669	507
2060	56	0
2061	247	0
2062	603	437
2063	996	419
2064	185	86
2065	425	202
2066	108	51
2067	124	84
2068	696	0
2069	930	681
2070	464	241
2071	193	69
